filename,ground_truth,Ourmodel,Original_ID
0520112024_0003_chunk_008,मतलब बीस और हेडरन मतलब फेसेस और इसके हर वरटैक्स पे पांच इक्वीलेटर ट्राइंगल आ कर मिल रहे है और इसे पहले हमने,मतलब बीस और हाइड्रा मतलब थ्रीसि्सुलिस के हर वटएक्सपर पांच इक्वुलेटेड ड्राइंगिलाकि मिल टराऔर इससे पहले हमने,20
0520112024_0003_chunk_010,और जो ऑप्टा हेडरन बनाया था उसके हर वरटैक्स पे चार इक्विलेटर ट्राइगल्स आकर मिल रहे थे और आज जो आइकोसा बनाया है उसके हर वरटैक्स,और जो और ाएाबनाए था उसकी हरवरटैक्स पे चार इक्वुलेटे ट्राइमसाकेऔर आ जो आइकोसा बनाा है उसकी हरवर टैक्स,21
0520112024_0003_chunk_013,ये जो एंगल है वो सिक्स्टी डिग्री का है और अगर सिक्स टाइम सिक्सटी करेंगे तो थ्री सिक्स्टी होगा तो ये,ये जो एंगल है वो सिक्सटी डिग्री का है और अगर सिक्सटाइम सिक्सटी करेंगे तो थ्री सिक्सटी होगा तोये,22
0520112024_0003_chunk_015,ये बाहर आइकोसा है और इसके हमने फेसेस की मिड पवॉइंट्स को मिला दिया तो इसके अंदर बैठा है डोडे का तो,ये बाहर माइकोसा है और इसके हमने फेसेस के मिड पॉइंट्स को मिला दिया तो इसके अंदर बैठा है डोडे का तो,23
0520112024_0003_chunk_016,इनको हम ड्यूअल स्ट्रक्चर कहते है जो हमने पिछले एपिसोड्स में भी बात करी थी एक और काफी मजेदार बात ये है,इनको हम डो स्ट्रक्चर करते है जो हमने पिछे आतेसोटे की बात कएक ओर काफी मजेदार बात  ै,24
0520112024_0003_chunk_017,कि अगर इन दोनों कोनों को हम इन दोनों कोनों से जोड़ दे यानी डाइग्नोली अपोजिट कोनों का अगर हम जोड़,कि इन दोनों कोनों कोइन दोनों कोनों से जोड़ दें यानि डाइगडली अपोजिट ोनो क गर ह जो,25
0520112024_0003_chunk_019,में भी एक चीज देखी थी कि क्यूब के जो रेक्टेंगल्स थे वो वन इज टू रूट टू रेशों में थे और जो,मेरी क चीज देखी थी क क्यूट के जो रैक्टिंगलस थे वो वने सोरोटू के रेशयो में थी और जो,26
0520112024_0003_chunk_026,और वो कैसे बनती है कि अगर हम इसकी लेंथ को वन थर्ड काट दें तो हमें जो शेप मिलेगा,ोरो कैसे बनती है कि अगर हम इसकी लैंथ को वन थर्ड काट दें तो हमें जो शेप मिलेगा,27
0520112024_0003_chunk_028,तों वो हमारी फुटबॉल होती है और जो जियोडेसिक डोंम्स बनती हैं उनका बेसिक स्ट्रक्चर भी आइकोसा हेडरन ही होता है और हमने हमारी लैब,वो हमारी फडबऑटो जीडैसिक डॉनस ंे उनका बेसिक स्ट्रक्चर भी माइक्रोसा हेडरनिंग होता है और हमने हमारी लैब,28
0520112024_0004_chunk_003,चर्चा हम करेंगे,चर्चा होक,29
0520112024_0004_chunk_005,तों ये कागज का खूबसूरत लैम्प बनके तैयार है और ये जो बना है वो बना है हमने पहले लैम्प बनाया,तीकागेज का ूसर लैब मंगे तैयार है और य जो बना है बना है हमने पहले लाइम बनाएै,30
0520112024_0004_chunk_016,आखिर के तीन लैम्प हम अगले तीन दिनों में बनाएंगे और तब तक के लिए अपने घर को सजाते रहिए सुंदर लैम्प से,तीन लैमम अगले तीन दिनों में बनाएंगे और तब तक के लिए अपने घर को सजाते रहेे सुंदर लैब से,31
0520112024_0005_chunk_002,को चोरों से बचाने में काफी मददगार साबित हो सकता है,कुछ चोडों से बचाने में काफी मददगार साबित हो सकता है,32
0520112024_0005_chunk_005,हैं ऐसे में अगर आपकी कार के आसपास कोई होगा तो आपको तुरंत इसका पता चल जाएगा,ऐसे में अगर आपकी कार के आसपास कोई होगा तो आपको तुरंत इसका पता चल जाएगा,33
0520112024_0005_chunk_007,बाद स्टेटस पर टच करना होगा स्टेटस आपकी मोबाइल ऐप की सबसे निचले हिस्से में दिखाई देगा जैसे ही आप,कबाद स्टेटस पर टच करना होगा स्टेटस आपकी मोबाइल ऐप के सबसे निचले हिस्से में दिखाई देगा जैसे ही आ,34
0520112024_0005_chunk_008,स्टेटस पर टच करेंगे नया इंटेरफेस ओपन होगा,स्टेटस पर टच करेंगे नया इंटरफीस ओपन होगा,35
0520112024_0005_chunk_009,यहां आपको सबसे ऊपर कार का स्कैच बना हुआ दिखाई देगा उसके ठीक नीचे रेंज दिखाई देगी कार में मौजूद फ्यूल,यहां आपको सब से ऊपर कारकस कैच बना हूआ दिखाई देगा उसके ठीक नीचे रेंज दिखाई देगी कार में मौजूद ी ह,36
0520112024_0005_chunk_013,कनेक्ट मोबाइल एप्लिकेशन सेटअप के दौरान सिलेक्ट करते हैं पिन डालने के बाद आपकी रिक्वेस्ट सर्वर पर चली जाएगे इसके,कनेक्ट मोबाइल एप्लीकेशन सेटअप के दौरान सलेक्ट करते हैं पिन डालने के बाद आपकी रिक्वेस्ट सब पर चली जाएगी,37
0520112024_0005_chunk_015,यह इमेज कुछ सेकेंड में ही आपके मोबाइल फोन पर देख जाएगी जिन्हे आप सेव भी कर सकते हैं अगर आपकी,यह इमेज कुछ सेकेंड में ही आपके मोबाइल फोन पर देख जाएगी जिन्हें आप सेव भी कर सकते हैं अगर आप,38
0520112024_0005_chunk_017,ये फीचर चोरी से बचाव में काफी मदद करेगा विडिओ को लाइक करें कमेंट करें शेयर करें और सब्सक्राइब जरूर,ये फीचर छोड़ी से बचाव में काफी मदद करेगा वीडियो को लाइक करें कमेंट करें शेयर करें और सब्स्क्राइब जरूर,39
0520112024_0005_chunk_018,करें,करें,40
0520112024_0006_chunk_002,कुल दो पेट्रोल इंजन विकल्प के साथ पेश किया गया है,कु दो पेट्रोल इंजन विकल्प के साथ पेश किया गया है,41
0520112024_0006_chunk_004,कुल पांच व्हेरिएंट्स में आने वाली इस एसयूवी की बुकिंग बीते ऑटो एक्सपो के दौरान ही शुरू कर दी गई,कुल पांच वैरियेंस में आने वाली इस एसीवी की बुकिंग बीते ऑटो एक्सपो के दौरान ही शुरू कर दी गई,42
0520112024_0006_chunk_005,थी,,43
0520112024_0006_chunk_006,मारुती फ्रॉनक्स लॉन्च देश की सबसे बड़ी कार निर्माता कंपनी मारुति सुजुकी ने आखिरकार घरेलू बाजार में अपनी सबसे,मारुती फ्रॉं्स लॉनच देश की सबसे बड़ी कार्य निर्माता कंपनी इमारुती सुजुकी ने आखिरकार घरेलू बाजार में अपनी सबसे,44
0520112024_0006_chunk_007,किफायती एसयूवी मारुती फ्रॉनक्स को लॉन्च कर दिया है,किफायती एसयूवी इमारुती फ्रॉर्म्स को लॉन्च कर दिया है,45
0520112024_0006_chunk_008,आकर्षक लुक और दमदार इंजन क्षमता से सजी इस एसयूवी की शुरुआती कीमत माह सात दशमलव चार छह लाख रुपए तय की गई,आकर्षक लोक और दमदार इंजन क्षमता से सजीएसएसिवी की शुरूआती कीमत माहत सात दशमलव चार छः लाख रुपये तय की गई है,46
0520112024_0006_chunk_009,है जो कि टॉप मॉडल के लिए तेरह दशमलव एक तीन लाख रुपए तक जाती है,जो कि टॉप मॉडल के लिए तेरह दशमलव एक तीन लाख रुपये तक जाती है,47
0520112024_0006_chunk_010,बाजार में ये कार मुख्य रूप से टाटा की बेस्ट सेलिंग एसयूवी टाटा नेक्सॉन को टक्कर देगी,बाजार में यह कार मुख्य रूप से टाटा की बेस्ट सेलिंगए सीवी टाटा नेक्सोन को तक कर देगी,48
0520112024_0006_chunk_011,कंपनी इस एसयूवी की बिक्री अपने प्रीमियम एनईएक्सए के डीलरशिप से कर रही है,कंपनी इसएसयूवी की बिक्री अपने प्रीमियम एनईएक्से डीलरशिप से कर रही है,49
0520112024_0006_chunk_012,इसकी बुकिंग पहले ही शुरू की जा चुकी है बता दें कि मारुति सुजुकी ने बीते ऑटो एक्सपो के दौरान,इसकी बुकिंग पहले ही शुरू की जा चुकी है बता दें कि मारुती सुजुकी ने बीते ऑटो एक्सपो के दौरान,50
0520112024_0006_chunk_013,अपनी मारुती फ्रॉनक्स को प्रदर्शित किया था उसी दौरान इस एसयूवी की बुकिंग भी शुरू कर दी गई थी,ने अपनी इमारुती फ्रॉम्स को प्रदर्शित किया था उसी दौरान इसएसीयूवी की बुकिंग भी शुरू कर दी गई थी,51
0520112024_0006_chunk_015,किया है जिसमें सिग्मा डेल्टा डेल्टा प्लस जिटा और अल्फा शामिल है,कयाजिसमें सिगमा डेल्टा डेल्टा प्लस जिटा और अलफा शामिल हैं,52
0520112024_0006_chunk_016,पावर और परफॉर्मेंस नई मारुती फ्रॉनक्स को कंपनी दो पेट्रोल इंजन विकल्प के साथ पेश किया गया है,पावर और परफॉर्मेंस नई मारुती फ्रॉम्स को कंपनी दो पेट्रोल इंजन विकल्प के साथ पेश किया गया है,53
0520112024_0006_chunk_018,मैनुअल ट्रांसमिशन गियर बॉक्स के साथ पेश किया जा रहा है,मेनुल ट्रांसमिशन गेयबॉक्स के साथ पेश किया जा रहा है,54
0520112024_0006_chunk_020,एक सौ सैतालिस न्यूटन मीटर का टॉर्क जेनरेट करता है,एक सौ सैंतालीस म्यूटन मीटर का टॉप जेनरेट करता है,55
0520112024_0006_chunk_022,इस एसयूवी को पांच स्पीड मैन्युअल ऑटोमैटिक और छह स्पीड ऑटोमैटिक ट्रांसमिशन गियर बॉक्स के साथ पेश किया जाएगा,इस एसीवी को पांच स्पीड मेनुअल ऑटोमेटिक और छह स्पीड ऑटोमेटिक ट्रांसमिशन गिया बॉक्स के साथ पेश किया जाएगा,56
0520112024_0006_chunk_023,जबरदस्त है माइलेज इसका एक दशमलव दो लीटर पेट्रोल व्हेरिएंट एक्कीस दशमलव सात नौ किलोमीटर प्रतिलीटर तक का माइलेज देगा,जबरदस्त है माइलेज इसका एक दशमलव दो लीटर पेट्रोल वैरिएंट इक्कीस दशमलव सात नौ किलोमीटर प्रतिलीटर तक का माइलेज देगा,57
0520112024_0006_chunk_025,प्रतिलीटर तक का माइलेज देगा,प्रति लीटर तक का माइलेज देगा,58
0520112024_0006_chunk_026,इन फीचर्स से लैस है एसयूवी इस एसयूवी के इंटीरियर को कंपनी ने ड्यूअल टोन थीम से सजाया है,इन फीचर्स से लैस है एसयूबी एसएसयू बी के इंजीरियर को कंपनी ने दोल टोन थीम से सजाया है,59
0520112024_0006_chunk_029,पंक्ति के लिए एकवैंस वहीं डेल्टा व्हेरिएंट में सात दशमलव शून्य इंच टच स्क्रीन इन्फोटेन्मेंट वायरलेस एप्पल कार प्ले और एंडरॉइड ऑटो स्मार्ट प्ले,पंकती के लिए एकवैंस वहीं डेल्टा वैरिेंस में सात दशमलव शून्य इंच टस्क्रीन इन फोर्टीन मिट वायरलेस एपल कार्डले और एनरोइनड ऑटो स्मार्टले,60
0520112024_0006_chunk_031,वील माउंटेड कंट्रोल इत्यादि जैसे फीचर्स मिलते हैं,ी माउंटेड कंट्रोल इत्यादि जैसे फीचर्स मिलते हैं,61
0520112024_0006_chunk_034,एंटिथैफ्ट सिक्योरिटी सिस्टम आइसोफिक चाइल्ड सीट रेस्ट सिस्टम इनसाइड रियर व्यू मिरर डे नाइट जैसे फीचर्स मिलते हैं,एनटी थैफ सिक्योरिटी सिस्टम आसोफिक्स चाइल सी ट्रेस्टरंड सिस्टम इनसॉइड रिवयू मेरा डेकनाइक जैसे फीचर्स मिलते हैं,62
0520112024_0006_chunk_035,वीडियो को लाइक करें कमेंट करें शेयर करें और सब्सक्राइब जरूर करें,मीडियो को लाइक करें कमेंट करें शेयर करें और सब्स्क्राइब जरूर करें,63
0520112024_0007_chunk_001,टीवीएस रायडर टीवीएस रायडर का नया व्हेरिएन्ट हुआ लॉन्च जाने कीमत और खूबियाँ कंपनी ने बंद किया ये ट्रिम टीवीएस मोटर,टीवीएस फीडम टीवीएस ेड का नया वेरेंट हो लॉनच जानी कीमतों और खूबिया कंपनी ने बंद किया हे ट्रेम टीवीएस मोट,64
0520112024_0007_chunk_002,कंपनी ने भारतीय बाजार में अपनी हाल ही लॉन्च हुई रायडर मोटर साइकिल का नया सिंगल सीट व्हेरिएन्ट लॉन्च किया है,कंपनी ने भारतीय बाजार में अपनी हाल ही लॉनच हुए वेड मोटरसाइककाइक नया सिंडसीट वेरं लॉन्च किया है,65
0520112024_0007_chunk_003,यह अब रायडर का सबसे किफायती वर्जन है क्योंकि ड्रम व्हेरिएन्ट को बंद कर दिया गया है,यह ब रेडियो का सबसे किफायती वर्जन है क्योंकि ड्रम मे रेंट को बंद कर दिया गया है,66
0520112024_0007_chunk_005,रायडर सिंगल सीट की कीमत तिरानवे हजार सात सौ उन्नीस रुपए है,रेग सिंडसी की कीमत तिरानवे हजार सात सौ उन्नीस रुपये है,67
0520112024_0007_chunk_006,स्प्लिट सीट व्हेरिएन्ट और टॉप स्पीड एसएक्स व्हेरिएन्ट की बिक्री अभी भी जारी है,सीटवेलेंट और टॉप्स पेके सक्स मेलेंट की बिक्रिया भी भी जारी है,68
0520112024_0007_chunk_007,इनकी कीमत क्रमश:,इनकी कीमत क्रमश,69
0520112024_0007_chunk_008,चौरानवे हजार सात सौ उन्नीस रुपए और,चौरानवे हजार सात सौ उन्नीस रुपये,70
0520112024_0007_chunk_009,एक लाख आठ सौ बीस रुपए है,एक लाख आठ सौ बीस रुपये है,71
0520112024_0007_chunk_011,अंतर है वह कलर स्कीम और सीट की डिजाइन का है,वो कलरस की और सीट की डिजाइन का है,72
0520112024_0007_chunk_013,तुलना में ज्यादा आरामदायक और बढ़ा माना जाता है इस से बाइक राइडर और पीछे बैठने वाले सवार को ज्यादा जगह,तुलना में ज्यादा आरामदायका और बड़ा माना जाता है इससे बाइट राइडे और पीछे बैठने वाली सवार को ज्यादा जगह,73
0520112024_0007_chunk_015,कलर स्कीम की बात करें तो सिंगल सीट व्हेरिएन्ट को सिर्फ स्ट्राइकिंग रेड कलर में बेचा जाएगा जबकि स्प्लिट सीट व्हेरिएन्ट,कलर स्कीम की बात करें तो सिंगल सीटवेडेंट को सिर्फ सट्राकिंग वीट कलर में बेचा जाएगा जबकि सल सीट मेरे,74
0520112024_0007_chunk_018,ब्रेकिंग और सस्पेन्शन नए व्हेरिएन्ट में ब्रेकिंग के लिए फ्रंट में डिस्क और रियर मे ड्रंम ब्रेक दी गई है,ब्रीकिंग और सस्पेंशन नए वेरेंस में ब्रीकिंग के लिए फ्रंट मे बिस्कऔर रेय में ड्रम ब्रेक दी गई है,75
0520112024_0007_chunk_021,रायडर का वजन मात्र एक सौ तेईस किलोग्राम है और इसका ग्राउन्ड क्लीयरेंस एक सौ अस्सी मिलीमीटर है,रेग का वजन मात्र एक सौ तेस किलोग्राम है और इसका ग्राउंन केरन स एक सौ अस्सी मिलीमीटर है,76
0520112024_0007_chunk_022,ये ट्यूब लेस टायर के साथ सत्रह इंच के अलॉय व्हील पर चलती है,ये टूबलेस टायर के साथ सत्रह इंच के अलोई वील पर चलती है,77
0520112024_0007_chunk_028,मोड भी मिलते हैं फीचर्स फीचर्स की बात करें तो रायडर सिंगल सीट व्हेरिएन्ट मे एलईडी लाइटिंग हेल्मेट अटेंशन इंडिकेशन साइड स्टैंड,वो भी मिलते हैं फीचर्स फीचर्स की बात करी तो राड सिंव सीट मेरेंट मी एलडीलाइटिंग हेल्मिटअटेंशन इंबिकेशन साइटस्टेंड,78
0520112024_0007_chunk_029,कट ऑफ सीट के नीचे स्टोरेज यूएसबी चार्जर और एलसीडी स्क्रीन जैसे फीचर्स मिलते हैं,कटॉफसी के नीचे स्टूरेज यूएसपे चाज और सेडी स्क्रीन जैसे फीचर्स मिलते हैं,79
0520112024_0009_chunk_001,एक राजा के पास,एक राजा के पा,80
0520112024_0009_chunk_002,एक बहुत बढ़िया तिजोरी थी इस तरह की तिजोरी थी ये तो मैंने चप्पल में काटकर पुरानी चप्पल नहीं मत,एक बहुत बढ़िया तिजोरी थी इस तरह की तिजोर थी ये तो मैंने चप्पल में काटकर पुरानी चप्पल नहीं मा,81
0520112024_0009_chunk_003,काटिएगा,,82
0520112024_0009_chunk_005,रेक्टैंगल,रेकटैंगल,83
0520112024_0009_chunk_006,और एक ट्राइऐंगल बना दिया तो राजा की जो तिजोरी थी वो बहुत बढ़िया थी उसमें दो तरीके के ताले थे,और एक ट्रैंगल नाी तो राजा की जो तिजौरी थी वो बहुत बढ़िया थी उसमें दो तरीके के ताले थे,84
0520112024_0009_chunk_007,एक गोला और एक,एक गोला और एक,85
0520112024_0009_chunk_008,रेक्टैंगल और राजा ने क्या कहा आपको ऐसी चाबी बनानी है जो इस गोले में बिल्कुल फिट आए,ेट और राजा ने क्या कहा आपको ऐसी चाभी बनानी है जो इस गोले में बिल्कुल फिट आए,86
0520112024_0009_chunk_010,इस रेक्टैंगल में भी बिल्कुल बराबर फिट होनी चाहिए इधर से डालें तो इधर से बाहर निकल जाए और सारी,इस रेक्टैंगल में भी बिल्कुल बराबर फिट होनी चाहिए इधर से डालें तो इधर से बाहर निकल जाए और सारी,87
0520112024_0009_chunk_011,इसकी जो,इसकी जो,88
0520112024_0009_chunk_012,बाउंड्री है वो चाबी की और इसकी बाउंड्री टच होनी चाहिए,बाउंडरी है वो चाबी की और इसकी बाउंडरी टच होनी चाहिए,89
0520112024_0009_chunk_013,ऐसा नहीं की छोटी सी कोई ताली घुसा दें तो इसमें घुस गई और इसमें घुस जाएगी पूरी बाउंड्री टच होनी,ऐसा नहीं कि छोटी सी कोई ताली घुसादे है तो इसमें घुज गई और इसमेंस घुज पूरी बाउंडरी तछोन,90
0520112024_0009_chunk_015,स्क्वेयर गोले में तो नहीं जा पाएगी,स्क्वेयर गोले में तो नहीं जा पाएगी,91
0520112024_0009_chunk_016,सिलेंडर होगी क्योंकि सिलेंडर एक तरफ से,सिलेंडर होगया क्योंकि सिलेंडर एक तरफ से,92
0520112024_0009_chunk_017,एक तरफ से जैसे देखें दूर से ये सिलेंडर दिखता है एक तरफ से अगर आप देखें तो गोला है,एक तरफ से जैसे देखें दूर से ये सिलेंडर दिखता है एक तरफ से अगर आप देखें तो गोला है,93
0520112024_0009_chunk_019,अब राजा बड़ी चक्कर में आ गया,अब राजा बड़ी चक्कर में आ गया,94
0520112024_0009_chunk_021,अब मेरी तिजोरी में तीन ताले है,अब मेरी तिजोरी में तीन टाले हैं,95
0520112024_0009_chunk_022,एक गोल,एक गोल,96
0520112024_0009_chunk_023,एक चौकोर,एक चौकोर,97
0520112024_0009_chunk_024,और एक त्रिकोण,और एक रिको,98
0520112024_0009_chunk_025,तो आपको ऐसी चाबी बनानी है,तो आपको ऐसी चाबी बनानी है,99
0520112024_0009_chunk_026,इन,इन,100
0520112024_0009_chunk_027,खीरे और ककड़ी से जो गोल भी हो,खीरे और ककली से जो गोल भी हो,101
0520112024_0009_chunk_028,जो,जो,102
0520112024_0009_chunk_029,रेक्टैंगल भी हो,रेक्टैंगल भी हो,103
0520112024_0009_chunk_030,यानी आयत भी हो और,यानी आयत भी हो और,104
0520112024_0009_chunk_031,त्रिकोण भी और तीनों में बिल्कुल बराबर फिट आनी चाहिए,और तीनों में बिल्कुल बराबर फीट आनी चाहिए,105
0520112024_0009_chunk_032,जब ये चीजे बनाएंगे और देखेंगे तब थ्रीडी में समझ आएगा फर्स्ट ईयर में जाकर और कहीं कहीं जाकर हम,जब ये चीजें बनाएंगे और देखेंगे तब फ्रीडी में समझ आएगा फर्स्ट ईयर में जाकर और कहीं कहीं जाकर हम,106
0520112024_0009_chunk_033,वो करते हैं टॉप व्यू साइड व्यू फ्रंट व्यू इन्फेक्ट आजकल आठवी में कराने लगते हैं लेकिन किसी को भी समझ,वो करते हैं टॉपयू साइटवू फ्रंटयू इंफैक्ट आजकल आटवी में कराने लगते हैं लेकिन किसी को भी समय,107
0520112024_0009_chunk_035,ऐसी चीजें नहीं देंगे और हाथ में कटर नहीं देंगे और तराशने के लिए नहीं बोलेंगे या खुद नहीं तराशेंगे,ऐसी चीजें नहीं देंगे और हाथ में कटर नहीं देंगे और तराशने के लिए नहीं बोलेंगे या खुद नहीं तराशेंगे,108
0520112024_0009_chunk_038,कुछ लोगों ने शायद सुना हो उसमें वो ड्राफ्टर लेकर जाते हैं कुछ कुछ कराते हैं,कुछ लोगों ने शायद सुना हो उसमें वो ड्राफ्टर लेके जाते हैं कुछ कुछ कराते हैं,109
0520112024_0009_chunk_039,उस पूरे कोर्स में चार महीने के कोर्स में क्या करना था सिर्फ यही करना था किसी भी वस्तु को ऊपर,उस पूरे कोर्स में चार महीने के कोर्स में क्या करना था सिर्फ यही करना था किसी भी वस्तु को ऊपर,110
0520112024_0009_chunk_040,से देखें तो कैसी दिखती है साइड से देखें तो कैसी दिखती है और फ्रंट से देखें तो कैसी दिखती,से देखें तो कैसी दिखती है साइड से देखें तो कैसी दिखती है और फ्रंट से देखें तो कैसी दिखती है,111
0520112024_0009_chunk_041,है जो दिखें वो कागज पर बना दो तो मैं देखता था कि काफी सारे बच्चे ऑलमोस्ट आधी क्लास वेयर स्ट्रगलिंग,जो दिखें वो कागज पर बना दो तो मैं देखता था कि काफी सारे बच्चे ऑलमोस्ट आधी क्लास वो स्ट्रगलिंग,112
0520112024_0009_chunk_042,बहुत परेशानी हो रही थी उस कोर्स में,बहुत परेशानी हो रही थी उसकोर्स में,113
0520112024_0009_chunk_043,आधे बच्चों को समझ ही नहीं आ रहा था क्या हो रहा है जब कि इतना सरल कोर्स है क्या कोर्स है कि,आदे बच्चों को समझही नहीं आ रहा था क्या हो रहा ै जबकि इतना सरल कोर्स है क्या कोर्स है,114
0520112024_0009_chunk_044,कोई चीज कैसी दिख रही है वो बना दो और गोलत उसने आर्ट ड्रॉइंग नहीं चाहिए ये सीधी सीधी लाइनों वाली,कोई चीज कैसी दिख रही है वो बना दो और गोलत उसमें आठ ड्रॉइंग नहीं चाहिए सीडी सीडी लाइनों वालीह,115
0520112024_0009_chunk_045,चीज है जो दिखे वो बनाओं उसमें भी लोगो को कष्ट हो रहा था और मैं देखता तो बहुत सारे बच्चों,चीज जो दिखे वो बनाओ उसमें भी लोगों को कष्ट हो रहा था और मैं देखता था बहुत सारे बच्चों,116
